DATE,NHFSEPUCS
1999-01-01,178.0
1999-02-01,180.0
1999-03-01,185.0
1999-04-01,180.0
1999-05-01,184.0
1999-06-01,175.0
1999-07-01,177.0
1999-08-01,184.0
1999-09-01,184.0
1999-10-01,189.0
1999-11-01,189.0
1999-12-01,191.0
2000-01-01,188.0
2000-02-01,180.0
2000-03-01,185.0
2000-04-01,185.0
2000-05-01,184.0
2000-06-01,185.0
2000-07-01,183.0
2000-08-01,179.0
2000-09-01,176.0
2000-10-01,175.0
2000-11-01,173.0
2000-12-01,170.0
2001-01-01,173.0
2001-02-01,175.0
2001-03-01,170.0
2001-04-01,178.0
2001-05-01,177.0
2001-06-01,181.0
2001-07-01,186.0
2001-08-01,187.0
2001-09-01,191.0
2001-10-01,189.0
2001-11-01,191.0
2001-12-01,190.0
2002-01-01,190.0
2002-02-01,192.0
2002-03-01,196.0
2002-04-01,194.0
2002-05-01,200.0
2002-06-01,202.0
2002-07-01,204.0
2002-08-01,203.0
2002-09-01,200.0
2002-10-01,202.0
2002-11-01,201.0
2002-12-01,204.0
2003-01-01,206.0
2003-02-01,202.0
2003-03-01,205.0
2003-04-01,205.0
2003-05-01,207.0
2003-06-01,212.0
2003-07-01,212.0
2003-08-01,214.0
2003-09-01,218.0
2003-10-01,222.0
2003-11-01,232.0
2003-12-01,232.0
2004-01-01,231.0
2004-02-01,232.0
2004-03-01,238.0
2004-04-01,238.0
2004-05-01,241.0
2004-06-01,236.0
2004-07-01,239.0
2004-08-01,250.0
2004-09-01,251.0
2004-10-01,253.0
2004-11-01,253.0
2004-12-01,257.0
2005-01-01,269.0
2005-02-01,273.0
2005-03-01,266.0
2005-04-01,264.0
2005-05-01,266.0
2005-06-01,270.0
2005-07-01,272.0
2005-08-01,282.0
2005-09-01,290.0
2005-10-01,292.0
2005-11-01,304.0
2005-12-01,306.0
2006-01-01,318.0
2006-02-01,328.0
2006-03-01,331.0
2006-04-01,332.0
2006-05-01,338.0
2006-06-01,327.0
2006-07-01,327.0
2006-08-01,317.0
2006-09-01,313.0
2006-10-01,301.0
2006-11-01,296.0
2006-12-01,290.0
2007-01-01,285.0
2007-02-01,285.0
2007-03-01,282.0
2007-04-01,285.0
2007-05-01,279.0
2007-06-01,276.0
2007-07-01,272.0
2007-08-01,264.0
2007-09-01,257.0
2007-10-01,248.0
2007-11-01,239.0
2007-12-01,234.0
2008-01-01,227.0
2008-02-01,222.0
2008-03-01,219.0
2008-04-01,214.0
2008-05-01,207.0
